provincia,canton,parroquia,poblacion,superficie_de_la_parroquia_km2_,densidad_poblacional
CHIMBORAZO,PENIPE,BILBAO,249.0,25.12,10.0
CHIMBORAZO,CUMANDA,CUMANDA,16602.0,159.47,104.0
EL ORO,MACHALA,MACHALA,301771.0,245.8,1228.0
EL ORO,MACHALA,EL RETIRO,4538.0,126.52,36.0
EL ORO,ARENILLAS,ARENILLAS,23919.0,260.37,92.0
EL ORO,ARENILLAS,CHACRAS,1926.0,97.49,20.0
EL ORO,ARENILLAS,PALMALES,3385.0,211.1,16.0
EL ORO,ARENILLAS,CARCABON,883.0,77.7,11.0
EL ORO,ARENILLAS,LA CUCA,2253.0,140.65,16.0
EL ORO,ATAHUALPA,PACCHA,2509.0,49.34,51.0
EL ORO,ATAHUALPA,AYAPAMBA,1413.0,100.32,14.0
EL ORO,ATAHUALPA,CORDONCILLO,985.0,30.53,32.0
EL ORO,ATAHUALPA,MILAGRO,435.0,2.82,154.0
EL ORO,ATAHUALPA,SAN JOSE,468.0,2.44,192.0
EL ORO,ATAHUALPA,SAN JUAN DE CERRO AZUL,302.0,96.22,3.0
EL ORO,BALSAS,BALSAS,6289.0,55.98,112.0
EL ORO,BALSAS,BELLAMARIA,1586.0,12.78,124.0
EL ORO,CHILLA,CHILLA,2251.0,331.67,7.0
EL ORO,EL GUABO,EL GUABO,35467.0,235.84,150.0
EL ORO,EL GUABO,BARBONES,7364.0,68.55,107.0
EL ORO,EL GUABO,LA IBERIA,4433.0,13.85,320.0
EL ORO,EL GUABO,TENDALES,5388.0,106.36,51.0
EL ORO,EL GUABO,RIO BONITO,6884.0,155.37,44.0
EL ORO,HUAQUILLAS,HUAQUILLAS,56303.0,98.66,571.0
EL ORO,MARCABELI,MARCABELI,6614.0,129.82,51.0
EL ORO,MARCABELI,EL INGENIO,256.0,18.63,14.0
EL ORO,PASAJE,PASAJE,60966.0,131.18,465.0
EL ORO,PASAJE,BUENAVISTA,7744.0,41.27,188.0
EL ORO,PASAJE,CASACAY,2887.0,61.14,47.0
EL ORO,PASAJE,LA PEANA,4025.0,16.23,248.0
EL ORO,PASAJE,PROGRESO,4906.0,148.95,33.0
EL ORO,PASAJE,UZHCURRUMI,904.0,30.23,30.0
EL ORO,PASAJE,CANAQUEMADA,2165.0,27.13,80.0
EL ORO,PINAS,PINAS,20479.0,119.62,171.0
EL ORO,PINAS,CAPIRO,1820.0,145.07,13.0
EL ORO,PINAS,LA BOCANA,1357.0,60.45,22.0
EL ORO,PINAS,MOROMORO,1264.0,84.25,15.0
EL ORO,PINAS,PIEDRAS,517.0,40.34,13.0
EL ORO,PINAS,SAN ROQUE,1194.0,47.6,25.0
EL ORO,PINAS,SARACAY,2775.0,117.15,24.0
EL ORO,PORTOVELO,PORTOVELO,11389.0,36.48,312.0
EL ORO,PORTOVELO,CURTINCAPA,538.0,17.34,31.0
EL ORO,PORTOVELO,MORALES,692.0,77.89,9.0
EL ORO,PORTOVELO,SALATI,937.0,152.43,6.0
EL ORO,SANTA ROSA,SANTA ROSA,61493.0,141.8,434.0
EL ORO,SANTA ROSA,BELLAVISTA,5047.0,52.21,97.0
EL ORO,SANTA ROSA,JAMBELI,1246.0,326.05,4.0
EL ORO,SANTA ROSA,LA AVANZADA,2435.0,65.93,37.0
EL ORO,SANTA ROSA,SAN ANTONIO,1446.0,22.55,64.0
EL ORO,SANTA ROSA,TORATA,2174.0,66.46,33.0
EL ORO,SANTA ROSA,VICTORIA,3726.0,113.23,33.0
EL ORO,SANTA ROSA,BELLAMARIA,2732.0,107.68,25.0
EL ORO,ZARUMA,ZARUMA,11592.0,17.1,678.0
EL ORO,ZARUMA,ABANIN,1333.0,75.57,18.0
EL ORO,ZARUMA,ARCAPAMBA,970.0,14.31,68.0
EL ORO,ZARUMA,GUANAZAN,2195.0,180.51,12.0
EL ORO,ZARUMA,GUIZHAGUINA,1832.0,156.77,12.0
EL ORO,ZARUMA,HUERTAS,2310.0,47.41,49.0
EL ORO,ZARUMA,MALVAS,963.0,10.26,94.0
EL ORO,ZARUMA,MULUNCAY GRANDE,817.0,7.39,111.0
EL ORO,ZARUMA,SINSAO,1594.0,45.25,35.0
EL ORO,ZARUMA,SALVIAS,768.0,97.28,8.0
EL ORO,LAS LAJAS,LA VICTORIA,3287.0,108.2,30.0
EL ORO,LAS LAJAS,LA LIBERTAD,871.0,83.22,10.0
EL ORO,LAS LAJAS,EL PARAISO,880.0,78.42,11.0
EL ORO,LAS LAJAS,SAN ISIDRO,700.0,28.81,24.0
ESMERALDAS,ESMERALDAS,ESMERALDAS,170529.0,70.42,2422.0
ESMERALDAS,ESMERALDAS,CAMARONES,3949.0,167.43,24.0
ESMERALDAS,ESMERALDAS,CORONEL CARLOS CONCHA TORRES,2760.0,289.37,10.0
ESMERALDAS,ESMERALDAS,CHINCA,5109.0,224.43,23.0
ESMERALDAS,ESMERALDAS,MAJUA,3368.0,125.39,27.0
ESMERALDAS,ESMERALDAS,SAN MATEO,7975.0,179.89,44.0
ESMERALDAS,ESMERALDAS,TABIAZO,2789.0,138.52,20.0
ESMERALDAS,ESMERALDAS,TACHINA,6439.0,73.04,88.0
ESMERALDAS,ESMERALDAS,VUELTA LARGA,8930.0,77.62,115.0
ESMERALDAS,ELOY ALFARO,VALDEZ,5848.0,97.18,60.0
ESMERALDAS,ELOY ALFARO,ANCHAYACU,3075.0,218.74,14.0
ESMERALDAS,ELOY ALFARO,ATAHUALPA,1388.0,220.03,6.0
ESMERALDAS,ELOY ALFARO,BORBON,9079.0,200.09,45.0
ESMERALDAS,ELOY ALFARO,LA TOLA,2949.0,172.1,17.0
ESMERALDAS,ELOY ALFARO,LUIS VARGAS TORRES,535.0,765.24,1.0
