no_,genero_de_la_victima,estado_civil_de_la_victima,condicion,fecha_de_muerte_victima,tipo_de_accidente,fecha_siniestro,canton,provincia,fecha_de_creacion_de_proteccion_de_fallecidos,anio,mes_num
3030,MASCULINO,SOLTERO/A,PEATON,2019-12-28,ATROPELLO,2019-12-19,GUAYAQUIL,GUAYAS,2020-11-27,2019,12
3053,MASCULINO,SOLTERO/A,OCUPANTE,2020-01-10,CHOQUE,2019-12-07,QUITO,PICHINCHA,2020-11-26,2019,12
3062,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-20,CHOQUE,2019-12-27,GUAYAQUIL,GUAYAS,2020-11-25,2019,12
3072,MASCULINO,SOLTERO/A,OCUPANTE,2020-06-27,VOLCAMIENTO,2019-12-06,QUITO,PICHINCHA,2020-11-24,2019,12
3090,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-29,CHOQUE,2019-12-29,MACHACHI,PICHINCHA,2020-11-20,2019,12
3097,FEMENINO,VIUDO/A,OCUPANTE,2019-11-29,CAIDA,2019-11-28,AMBATO,TUNGURAHUA,2020-11-20,2019,11
3107,MASCULINO,SOLTERO/A,PEATON,2020-04-11,ATROPELLO,2019-12-09,QUITO,PICHINCHA,2020-11-19,2019,12
3120,FEMENINO,SOLTERO/A,OCUPANTE,2019-11-30,CHOQUE,2019-11-30,GUAYAQUIL,GUAYAS,2020-11-18,2019,11
3137,MASCULINO,CASADO/A,OCUPANTE,2020-08-06,CHOQUE,2019-08-07,COLTA,CHIMBORAZO,2020-11-17,2019,8
3138,MASCULINO,CASADO/A,OCUPANTE,2019-11-14,CHOQUE,2019-11-09,RIOBAMBA,CHIMBORAZO,2020-11-17,2019,11
3146,MASCULINO,DIVORCIADO/A,PEATON,2019-12-08,ATROPELLO,2019-12-08,PELILEO,TUNGURAHUA,2020-11-16,2019,12
3199,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-31,CHOQUE,2019-12-31,GUAYAQUIL,GUAYAS,2020-11-06,2019,12
3200,FEMENINO,SOLTERO/A,PEATON,2019-12-11,ATROPELLO,2019-11-28,GUAYAQUIL,GUAYAS,2020-11-06,2019,11
3210,MASCULINO,CASADO/A,OCUPANTE,2019-12-06,CHOQUE,2019-12-06,LA TRONCAL,CANAR,2020-11-05,2019,12
3218,MASCULINO,SOLTERO/A,OCUPANTE,2019-11-23,CHOQUE,2019-11-23,GUALAQUIZA,MORONA SANTIAGO,2020-11-04,2019,11
3248,MASCULINO,SOLTERO/A,PEATON,2019-12-19,ATROPELLO,2019-12-19,QUITO,PICHINCHA,2020-10-28,2019,12
3250,MASCULINO,CASADO/A,OCUPANTE,2019-10-31,VOLCAMIENTO,2019-10-31,BUENA FE,LOS RIOS,2020-10-28,2019,10
3263,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-22,VOLCAMIENTO,2019-12-22,COTACACHI,IMBABURA,2020-10-28,2019,12
3276,FEMENINO,SOLTERO/A,OCUPANTE,2019-12-22,CHOQUE,2019-12-22,SAN LORENZO,ESMERALDAS,2020-10-26,2019,12
3277,MASCULINO,SOLTERO/A,OCUPANTE,2020-04-07,CHOQUE,2019-10-31,RIOBAMBA,CHIMBORAZO,2020-10-26,2019,10
3278,MASCULINO,SOLTERO/A,OCUPANTE,2019-12-26,CHOQUE,2019-12-21,LA TRONCAL,CANAR,2020-10-26,2019,12
